#	coupon_pk	coupon_ref_id	is_duplicate?	mark_inactive?	override_category?	parent_category_override?	parent_category_override?	correct_location?	address_correction?	locality_correction?	region_correction?	postal_code_correction?
1	1637045	1414662										
2	1655236	1199558	1									
3	1665729	696779	1									
4	1674361	694468		1								
5	1693310	1960933										
6	1716874	1871466										
7	1719611	1871458										
8	1719612	1871464										
9	1722312	1871469										
10	1722327	1871462										
11	1698660	1969690										
12	1729446	1908165										
13	1742424	1623396										
14	1719845	1936770										
15	1745944	1972697			1	Activities & Events	Life Skills Classes					
16	1671362	687901										
17	1704401	1949397	1	1	1	Activities & Events	None					
18	1712914	2017046			1	Activities & Events	None					
19	1735090	2021049	1									
20	1717246	1971071										
21	1716751	1926635										
22	1729356	1921808										
23	1638212	1448965			1	Fitness	Personal Training					
24	1638211	1041757			1	Shopping & Services	Home Services					
25	1719727	1871707										
26	1722443	1871713										
27	1662312	760833										
28	1719118	1979263		1								
29	1638200	1110164			1	Shopping & Services	None					
30	1657236	1691961										
31	1661551	1674235	1									
32	1638147	1448975		1	1	Health & Beauty	None					
33	1653497	831145	1									
34	1666224	683922										
35	1637902	1447726			1	Fitness	Yoga					
36	1636049	1662844			1	Health & Beauty	Hair Salon					
37	1636305	1615564										
38	1704342	1960759			1	Shopping & Services	Automotive Services					
39	1691695	1975558			1	Activities & Events	Outdoor Adventures					
40	1702757	1952306										
41	1728947	1874578	1									
42	1723329	1946408			1	Fitness	Fitness Classes					
43	1670085	1199421	1									
44	1673181	672908										
45	1666967	1199357										
46	1670106	1414327	1									
47	1669920	697575										
48	1697432	1954336	1									
49	1637935	1448340			1	Shopping & Services	Home Services					
50	1713281	1445382	1									
51	1704402	1990283	1									
52	1675200	1198174										
53	1694182	2014802		1								
54	1694184	2014803		1								
55	1702485	2014805		1								
56	1745417	2014462	1	1								
57	1751059	1917020										
58	1639957	1447723			1	Shopping & Services	Home Services					
59	1749713	2027198										
60	1741743	2018228			1	Shopping & Services	Treats					
61	1637631	1563057			1	Shopping & Services	Home Services					
62	1719455	1926065										
63	1657062	1212077						1	100 W. American Canyon Rd	American Canyon	CA	94503
64	1653776	1699101	1									
65	1664525	1413131	1									
66	1694188	1949399			1	Health & Beauty	None					
67	1716373	1881649										
68	1721829	1881657										
69	1701561	1993821										
70	1704325	1990288	1									
71	1716290	1973602										
72	1722249	1871340			1	Shopping & Services	Automotive Services					
73	1637624	1109858			1	Health & Beauty	Spa					
74	1745284	2013585										
75	1745288	2013577										
76	1747997	2013586										
77	1749155	2013581										
78	1720758	1872050										
79	1701707	1960158										
80	1721307	1874971										
81	1713667	1876553										
82	1637627	1030874			1	Health & Beauty	Hair Salon					
83	1637484	1049819			1	Health & Beauty	Massage					
84	1637303	1448995			1	Shopping & Services	Photography Services					
85	1716762	1926668										
86	1722215	1926666										
87	1728862	1874501										
88	1725798	1166841			1	Activities & Events	Concerts					
89	1652663	1222132										
90	1654306	1415398	1									
91	1662575	688169		1								
92	1669790	1415161										
93	1675846	691290	1									
94	1698810	1992241			1	Shopping & Services	Photography Services					
95	1722920	1912528			1	Shopping & Services	None					
96	1637920	1046530			1	Shopping & Services	Photography Services					
97	1690552	2015579			1	Health & Beauty	Hair Salon					
98	1688164	1868789	1		1	Activities & Events	Outdoor Adventures					
99	1729402	873661										
100	1634393	1625449			1	Shopping & Services	Automotive Services					
101	1696015	1960728			1	Shopping & Services	Food & Grocery					
102	1696016	1960723										
103	1698819	1969803		1	1	Activities & Events	None					
104	1637880	1110044			1	Health & Beauty	Spa					
105	1722413	1871653			1	Shopping & Services	Home Services					
106	1698837	1960975	1									
107	1723563	2003310										
108	1637635	971247			1	Shopping & Services	Photography Services					
109	1748372	1978840			1	Activities & Events	Museums					
110	1725881	1972477			1	Activities & Events	Outdoor Adventures					
111	1634830	1626746			1	Shopping & Services	Automotive Services					
112	1717587	1916897										
113	1638223	1115550			1	Shopping & Services	Photography Services					
114	1637874	1448274			1	Health & Beauty	Spa	1	1958 Mountain Blvd	Oakland	CA	94611
115	1701635	1992009	1		1	Shopping & Services	Automotive Services	1	480 Soscol Ave	Napa	CA	94559
116	1695699	1959309										
117	1639956	1057543			1	Shopping & Services	Home Services					
118	1637640	1447693			1	Fitness	Gym					
119	1732719	1798929						1	1615 L Street 	Sacramento	CA	95814
120	1730394	1798932										
121	1732714	1798931										
122	1742418	1798930										
123	1722696	1885811										
124	1713101	1774201			1	Shopping & Services	Automotive Services					
125	1713102	1774207										
126	1713103	1774204										
127	1713106	1774209										
128	1713107	1774210										
129	1713287	1774202										
130	1713289	1774208										
131	1713449	1774203										
132	1713454	1774206										
133	1713455	1774205										
134	1699695	1949433										
135	1710395	1813444			1	Activities & Events	Theater					
136	1724625	1873801										
137	1698817	1960896										
138	1716375	1875941										
139	1673394	707923										
140	1637870	1448223			1	Shopping & Services	None					
141	1722610	1871856										
142	1700149	1968900	1					1	4408 Market St	Oakland	CA	94608
143	1691938	1954337	1									
144	1722827	1974890										
145	1634395	1626665			1	Health & Beauty	Massage	1	39 Santa Marina Steet	San Francisco	CA	94110
146	1638160	1448962			1	Shopping & Services	Photography Services					
147	1701563	2001888										
148	1663054	675804										
149	1720299	1988434										
150	1655855	1744355			1	Health & Beauty	Hair Salon					
151	1745904	2003557										
152	1663325	693893										
153	1751032	2027199			1	Activities & Events	Museums					
154	1690563	2015583						1	Shoreline Hwy	Mill Valley	CA	94941
155	1693334	1976286										
156	1696065	1969821										
157	1701568	1952457	1									
158	1704404	1952446										
159	1704406	2015587										
160	1704411	1952437	1									
161	1728832	1874458										
162	1699966	1952377		1	1	Activities & Events	Life Skills Classes					
163	1704378	1949436			1	Activities & Events	Outdoor Adventures	1	13025 Murphy Ave	San Martin	CA	95046
164	1724809	1874111			1	Health & Beauty	None					
165	1727408	1983575										
166	1637869	1448248			1	Shopping & Services	Home Services					
167	1638198	1449031			1	Activities & Events	Outdoor Adventures					
168	1658333	1198842										
169	1662560	1414425	1									
170	1726264	2026092			1	Health & Beauty	None					
171	1637895	1448284			1	Fitness	Personal Training					
172	1638233	1079804			1	Fitness	Personal Training					
173	1725117	2008452										
174	1748384	2010950			1	Activities & Events	Outdoor Adventures					
175	1637307	1449078			1	Health & Beauty	None					
176	1659207	1682974										
177	1674817	1672662	1									
178	1748298	873432		1								
179	1718917	1875539			1	Health & Beauty	None					
180	1701425	1960143			1	Activities & Events	Outdoor Adventures	1	8685 River Rd	Sacramento	CA	95832
181	1654818	1207144	1									
182	1668459	892241										
183	1751017	2018400										
184	1739813	1623423										
185	1709863	1445403			1	Health & Beauty	Hair Salon					
186	1726496	1873800										
